127.0.0.1 - - [27/Apr/2023:20:58:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:25 +0900] "GET /comm/ HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:25 +0900] "GET /comm/resources/css/main-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:25 +0900] "GET /comm/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:25 +0900] "GET /comm/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:25 +0900] "GET /comm/member/selectAll HTTP/1.1" 500 31887
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:35 +0900] "GET /comm/member/selectAll HTTP/1.1" 500 31847
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:45 +0900] "GET /comm/member/selectAll HTTP/1.1" 500 31887
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:58:56 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:59:05 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:59:15 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:59:25 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:59:35 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:59:45 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Apr/2023:20:59:55 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [27/Apr/2023:21:00:05 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 316
